index,mid,display_name,classification
0,/m/09x0r,Speech,anthropophonic
1,/m/05zppz,"Male speech, man speaking",anthropophonic
2,/m/02zsn,"Female speech, woman speaking",anthropophonic
3,/m/0ytgt,"Child speech, kid speaking",anthropophonic
4,/m/01h8n0,Conversation,anthropophonic
5,/m/02qldy,"Narration, monologue",anthropophonic
6,/m/0261r1,Babbling,anthropophonic
7,/m/0brhx,Speech synthesizer,anthropophonic
8,/m/07p6fty,Shout,anthropophonic
9,/m/07q4ntr,Bellow,anthropophonic
10,/m/07rwj3x,Whoop,anthropophonic
11,/m/07sr1lc,Yell,anthropophonic
12,/m/04gy_2,Battle cry,anthropophonic
13,/t/dd00135,Children shouting,anthropophonic
14,/m/03qc9zr,Screaming,anthropophonic
15,/m/02rtxlg,Whispering,anthropophonic
16,/m/01j3sz,Laughter,anthropophonic
17,/t/dd00001,Baby laughter,anthropophonic
18,/m/07r660_,Giggle,anthropophonic
19,/m/07s04w4,Snicker,anthropophonic
20,/m/07sq110,Belly laugh,anthropophonic
21,/m/07rgt08,"Chuckle, chortle",anthropophonic
22,/m/0463cq4,"Crying, sobbing",anthropophonic
23,/t/dd00002,"Baby cry, infant cry",anthropophonic
24,/m/07qz6j3,Whimper,anthropophonic
25,/m/07qw_06,"Wail, moan",anthropophonic
26,/m/07plz5l,Sigh,anthropophonic
27,/m/015lz1,Singing,anthropophonic
28,/m/0l14jd,Choir,anthropophonic
29,/m/01swy6,Yodeling,anthropophonic
30,/m/02bk07,Chant,anthropophonic
31,/m/01c194,Mantra,anthropophonic
32,/t/dd00003,Male singing,anthropophonic
33,/t/dd00004,Female singing,anthropophonic
34,/t/dd00005,Child singing,anthropophonic
35,/t/dd00006,Synthetic singing,anthropophonic
36,/m/06bxc,Rapping,anthropophonic
37,/m/02fxyj,Humming,anthropophonic
38,/m/07s2xch,Groan,anthropophonic
39,/m/07r4k75,Grunt,anthropophonic
40,/m/01w250,Whistling,anthropophonic
41,/m/0lyf6,Breathing,anthropophonic
42,/m/07mzm6,Wheeze,anthropophonic
43,/m/01d3sd,Snoring,anthropophonic
44,/m/07s0dtb,Gasp,anthropophonic
45,/m/07pyy8b,Pant,anthropophonic
46,/m/07q0yl5,Snort,anthropophonic
47,/m/01b_21,Cough,anthropophonic
48,/m/0dl9sf8,Throat clearing,anthropophonic
49,/m/01hsr_,Sneeze,anthropophonic
50,/m/07ppn3j,Sniff,anthropophonic
51,/m/06h7j,Run,anthropophonic
52,/m/07qv_x_,Shuffle,anthropophonic
53,/m/07pbtc8,"Walk, footsteps",anthropophonic
54,/m/03cczk,"Chewing, mastication",anthropophonic
55,/m/07pdhp0,Biting,anthropophonic
56,/m/0939n_,Gargling,anthropophonic
57,/m/01g90h,Stomach rumble,anthropophonic
58,/m/03q5_w,"Burping, eructation",anthropophonic
59,/m/02p3nc,Hiccup,anthropophonic
60,/m/02_nn,Fart,anthropophonic
61,/m/0k65p,Hands,anthropophonic
62,/m/025_jnm,Finger snapping,anthropophonic
63,/m/0l15bq,Clapping,anthropophonic
64,/m/01jg02,"Heart sounds, heartbeat",anthropophonic
65,/m/01jg1z,Heart murmur,anthropophonic
66,/m/053hz1,Cheering,anthropophonic
67,/m/028ght,Applause,anthropophonic
68,/m/07rkbfh,Chatter,anthropophonic
69,/m/03qtwd,Crowd,anthropophonic
70,/m/07qfr4h,"Hubbub, speech noise, speech babble",anthropophonic
71,/t/dd00013,Children playing,anthropophonic
72,/m/0jbk,Animal,biophonic
73,/m/068hy,"Domestic animals, pets",biophonic
74,/m/0bt9lr,Dog,biophonic
75,/m/05tny_,Bark,biophonic
76,/m/07r_k2n,Yip,biophonic
77,/m/07qf0zm,Howl,biophonic
78,/m/07rc7d9,Bow-wow,biophonic
79,/m/0ghcn6,Growling,biophonic
80,/t/dd00136,Whimper (dog),biophonic
81,/m/01yrx,Cat,biophonic
82,/m/02yds9,Purr,biophonic
83,/m/07qrkrw,Meow,biophonic
84,/m/07rjwbb,Hiss,biophonic
85,/m/07r81j2,Caterwaul,biophonic
86,/m/0ch8v,"Livestock, farm animals, working animals",biophonic
87,/m/03k3r,Horse,biophonic
88,/m/07rv9rh,Clip-clop,biophonic
89,/m/07q5rw0,"Neigh, whinny",biophonic
90,/m/01xq0k1,"Cattle, bovinae",biophonic
91,/m/07rpkh9,Moo,biophonic
92,/m/0239kh,Cowbell,biophonic
93,/m/068zj,Pig,biophonic
94,/t/dd00018,Oink,biophonic
95,/m/03fwl,Goat,biophonic
96,/m/07q0h5t,Bleat,biophonic
97,/m/07bgp,Sheep,biophonic
98,/m/025rv6n,Fowl,biophonic
99,/m/09b5t,"Chicken, rooster",biophonic
100,/m/07st89h,Cluck,biophonic
101,/m/07qn5dc,"Crowing, cock-a-doodle-doo",biophonic
102,/m/01rd7k,Turkey,biophonic
103,/m/07svc2k,Gobble,biophonic
104,/m/09ddx,Duck,biophonic
105,/m/07qdb04,Quack,biophonic
106,/m/0dbvp,Goose,biophonic
107,/m/07qwf61,Honk,biophonic
108,/m/01280g,Wild animals,biophonic
109,/m/0cdnk,"Roaring cats (lions, tigers)",biophonic
110,/m/04cvmfc,Roar,biophonic
111,/m/015p6,Bird,biophonic
112,/m/020bb7,"Bird vocalization, bird call, bird song",biophonic
113,/m/07pggtn,"Chirp, tweet",biophonic
114,/m/07sx8x_,Squawk,biophonic
